id_canton,parroquia
2,EL SAGRARIO
2,SAN SEBASTIÁN
2,SUCRE
2,VALLE
2,LOJA
2,CHANTACO
2,CHUQUIRIBAMBA
2,EL CISNE
2,GUALEL
2,JIMBILLA
2,MALACATOS (VALLADOLID)
2,SAN LUCAS
2,SAN PEDRO DE VILCABAMBA
2,SANTIAGO
2,TAQUIL (MIGUEL RIOFRÍO)
2,VILCABAMBA (VICTORIA)
2,YANGANA (ARSENIO CASTILLO)
2,QUINARA
3,CARIAMANGA
3,CHILE
3,SAN VICENTE
3,CARIAMANGA
3,COLAISACA
3,EL LUCERO
3,UTUANA
3,SANGUILLÍN
4,CATAMAYO
4,SAN JOSÉ
4,CATAMAYO (LA TOMA)
4,EL TAMBO
4,GUAYQUICHUMA
4,SAN PEDRO DE LA BENDITA
4,ZAMBI
5,CELICA
5,CRUZPAMBA (CAB. EN CARLOS BUSTAMANTE)
5,CHAQUINAL
5,12 DE DICIEMBRE (CAB. EN ACHIOTES)
5,PINDAL (FEDERICO PÁEZ)
5,POZUL (SAN JUAN DE POZUL)
5,SABANILLA
5,TNTE. MAXIMILIANO RODRÍGUEZ LOAIZA
6,CHAGUARPAMBA
6,BUENAVISTA
6,EL ROSARIO
6,SANTA RUFINA
6,AMARILLOS
7,AMALUZA
7,BELLAVISTA
7,JIMBURA
7,SANTA TERESITA
7,27 DE ABRIL (CAB. EN LA NARANJA)
7,EL INGENIO
7,EL AIRO
8,GONZANAMÁ
8,CHANGAIMINA (LA LIBERTAD)
8,FUNDOCHAMBA
8,NAMBACOLA
8,PURUNUMA (EGUIGUREN)
8,QUILANGA (LA PAZ)
8,SACAPALCA
8,SAN ANTONIO DE LAS ARADAS (CAB. EN LAS ARADAS)
9,GENERAL ELOY ALFARO (SAN SEBASTIÁN)
9,MACARÁ (MANUEL ENRIQUE RENGEL SUQUILANDA)
9,MACARÁ
9,LARAMA
9,LA VICTORIA
9,SABIANGO (LA CAPILLA)
10,CATACOCHA
10,LOURDES
10,CATACOCHA
10,CANGONAMÁ
10,GUACHANAMÁ
10,LA TINGUE
10,LAURO GUERRERO
10,OLMEDO (SANTA BÁRBARA)
10,ORIANGA
10,SAN ANTONIO
10,CASANGA
10,YAMANA
11,ALAMOR
11,CIANO
11,EL ARENAL
11,EL LIMO (MARIANA DE JESÚS)
11,MERCADILLO
11,VICENTINO
12,SARAGURO
12,EL PARAÍSO DE CELÉN
12,EL TABLÓN
12,LLUZHAPA
12,MANÚ
12,SAN ANTONIO DE QUMBE (CUMBE)
12,SAN PABLO DE TENTA
12,SAN SEBASTIÁN DE YÚLUC
12,SELVA ALEGRE
12,URDANETA (PAQUISHAPA)
12,SUMAYPAMBA
13,SOZORANGA
13,NUEVA FÁTIMA
13,TACAMOROS
14,ZAPOTILLO
14,MANGAHURCO (CAZADEROS)
14,GARZAREAL
14,LIMONES
14,PALETILLAS
14,BOLASPAMBA
15,PINDAL
15,CHAQUINAL
15,12 DE DICIEMBRE (CAB.EN ACHIOTES)
15,MILAGROS
16,QUILANGA
16,FUNDOCHAMBA
16,SAN ANTONIO DE LAS ARADAS (CAB. EN LAS ARADAS)
17,OLMEDO
17,LA TINGUE
18,LA PROVIDENCIA
18,MACHALA
18,PUERTO BOLÍVAR
18,NUEVE DE MAYO
18,EL CAMBIO
18,MACHALA
18,EL CAMBIO
18,EL RETIRO
19,ARENILLAS
19,CHACRAS
19,LA LIBERTAD
19,LAS LAJAS (CAB. EN LA VICTORIA)
19,PALMALES
19,CARCABÓN
20,PACCHA
20,AYAPAMBA
20,CORDONCILLO
20,MILAGRO
20,SAN JOSÉ
20,SAN JUAN DE CERRO AZUL
21,BALSAS
21,BELLAMARÍA
22,CHILLA
23,EL GUABO
23,BARBONES (SUCRE)
23,LA IBERIA
23,TENDALES (CAB.EN PUERTO TENDALES)
23,RÍO BONITO
24,ECUADOR
24,EL PARAÍSO
24,HUALTACO
24,MILTON REYES
24,UNIÓN LOJANA
24,HUAQUILLAS
25,MARCABELÍ
25,EL INGENIO
26,BOLÍVAR
26,LOMA DE FRANCO
26,OCHOA LEÓN (MATRIZ)
26,TRES CERRITOS
26,PASAJE
26,BUENAVISTA
26,CASACAY
26,LA PEAÑA
26,PROGRESO
26,UZHCURRUMI
26,CAÑAQUEMADA
27,LA MATRIZ
27,LA SUSAYA
27,PIÑAS GRANDE
27,PIÑAS
27,CAPIRO (CAB. EN LA CAPILLA DE CAPIRO)
27,LA BOCANA
27,MOROMORO (CAB. EN EL VADO)
27,PIEDRAS
27,SAN ROQUE (AMBROSIO MALDONADO)
27,SARACAY
28,PORTOVELO
28,CURTINCAPA
28,MORALES
28,SALATÍ
29,SANTA ROSA
29,PUERTO JELÍ
29,BALNEARIO JAMBELÍ (SATÉLITE)
29,JUMÓN (SATÉLITE)
29,NUEVO SANTA ROSA
29,SANTA ROSA
29,BELLAVISTA
29,JAMBELÍ
29,LA AVANZADA
29,SAN ANTONIO
29,TORATA
29,VICTORIA
29,BELLAMARÍA
30,ZARUMA
30,ABAÑÍN
30,ARCAPAMBA
30,GUANAZÁN
30,GUIZHAGUIÑA
30,HUERTAS
30,MALVAS
30,MULUNCAY GRANDE
30,SINSAO
30,SALVIAS
31,LA VICTORIA
31,PLATANILLOS
31,VALLE HERMOSO
31,LA VICTORIA
31,LA LIBERTAD
31,EL PARAÍSO
31,SAN ISIDRO
32,EL LIMÓN
32,ZAMORA
32,ZAMORA
32,CUMBARATZA
32,GUADALUPE
32,IMBANA (LA VICTORIA DE IMBANA)
32,PAQUISHA
32,SABANILLA
