Código Provincia,Provincia,Cantón,Parroquia
01,AZUAY,CUENCA,BELLAVISTA
01,AZUAY,CUENCA,CAÑARIBAMBA
01,AZUAY,CUENCA,EL BATÁN
01,AZUAY,CUENCA,EL SAGRARIO
01,AZUAY,CUENCA,EL VECINO
01,AZUAY,CUENCA,GIL RAMÍREZ DÁVALOS
01,AZUAY,CUENCA,HUAYNACÁPAC
01,AZUAY,CUENCA,MACHÁNGARA
01,AZUAY,CUENCA,MONAY
01,AZUAY,CUENCA,SAN BLAS
01,AZUAY,CUENCA,SAN SEBASTIÁN
01,AZUAY,CUENCA,SUCRE
01,AZUAY,CUENCA,TOTORACOCHA
01,AZUAY,CUENCA,YANUNCAY
01,AZUAY,CUENCA,HERMANO MIGUEL
01,AZUAY,CUENCA,CUENCA
01,AZUAY,CUENCA,BAÑOS
01,AZUAY,CUENCA,CUMBE
01,AZUAY,CUENCA,CHAUCHA
01,AZUAY,CUENCA,CHECA (JIDCAY)
01,AZUAY,CUENCA,CHIQUINTAD
01,AZUAY,CUENCA,LLACAO
01,AZUAY,CUENCA,MOLLETURO
01,AZUAY,CUENCA,NULTI
01,AZUAY,CUENCA,OCTAVIO CORDERO PALACIOS (SANTA ROSA)
01,AZUAY,CUENCA,PACCHA
01,AZUAY,CUENCA,QUINGEO
01,AZUAY,CUENCA,RICAURTE
01,AZUAY,CUENCA,SAN JOAQUÍN
01,AZUAY,CUENCA,SANTA ANA
01,AZUAY,CUENCA,SAYAUSÍ
01,AZUAY,CUENCA,SIDCAY
01,AZUAY,CUENCA,SININCAY
01,AZUAY,CUENCA,TARQUI
01,AZUAY,CUENCA,TURI
01,AZUAY,CUENCA,VALLE
01,AZUAY,CUENCA,VICTORIA DEL PORTETE (IRQUIS)
01,AZUAY,GIRÓN,GIRÓN
01,AZUAY,GIRÓN,ASUNCIÓN
01,AZUAY,GIRÓN,SAN GERARDO
01,AZUAY,GUALACEO,GUALACEO
01,AZUAY,GUALACEO,CHORDELEG
01,AZUAY,GUALACEO,DANIEL CÓRDOVA TORAL (EL ORIENTE)
01,AZUAY,GUALACEO,JADÁN
01,AZUAY,GUALACEO,MARIANO MORENO
01,AZUAY,GUALACEO,PRINCIPAL
01,AZUAY,GUALACEO,REMIGIO CRESPO TORAL (GÚLAG)
01,AZUAY,GUALACEO,SAN JUAN
01,AZUAY,GUALACEO,ZHIDMAD
01,AZUAY,GUALACEO,LUIS CORDERO VEGA
01,AZUAY,GUALACEO,SIMÓN BOLÍVAR (CAB. EN GAÑANZOL)
01,AZUAY,NABÓN,NABÓN
01,AZUAY,NABÓN,COCHAPATA
01,AZUAY,NABÓN,EL PROGRESO (CAB.EN ZHOTA)
01,AZUAY,NABÓN,LAS NIEVES (CHAYA)
01,AZUAY,NABÓN,OÑA
01,AZUAY,PAUTE,PAUTE
01,AZUAY,PAUTE,AMALUZA
01,AZUAY,PAUTE,BULÁN (JOSÉ VÍCTOR IZQUIERDO)
01,AZUAY,PAUTE,CHICÁN (GUILLERMO ORTEGA)
01,AZUAY,PAUTE,EL CABO
01,AZUAY,PAUTE,GUACHAPALA
01,AZUAY,PAUTE,GUARAINAG
01,AZUAY,PAUTE,PALMAS
01,AZUAY,PAUTE,PAN
01,AZUAY,PAUTE,SAN CRISTÓBAL (CARLOS ORDÓÑEZ LAZO)
01,AZUAY,PAUTE,SEVILLA DE ORO
01,AZUAY,PAUTE,TOMEBAMBA
01,AZUAY,PAUTE,DUG DUG
01,AZUAY,PUCARA,PUCARÁ
01,AZUAY,PUCARA,CAMILO PONCE ENRÍQUEZ (CAB. EN RÍO 7 DE MOLLEPONGO
01,AZUAY,PUCARA,SAN RAFAEL DE SHARUG
01,AZUAY,SAN FERNANDO,SAN FERNANDO
01,AZUAY,SAN FERNANDO,CHUMBLÍN
01,AZUAY,SANTA ISABEL,SANTA ISABEL (CHAGUARURCO)
01,AZUAY,SANTA ISABEL,ABDÓN CALDERÓN (LA UNIÓN)
01,AZUAY,SANTA ISABEL,EL CARMEN DE PIJILÍ
01,AZUAY,SANTA ISABEL,ZHAGLLI (SHAGLLI)
01,AZUAY,SANTA ISABEL,SAN SALVADOR DE CAÑARIBAMBA
01,AZUAY,SIGSIG,SIGSIG
01,AZUAY,SIGSIG,CUCHIL (CUTCHIL)
01,AZUAY,SIGSIG,GIMA
01,AZUAY,SIGSIG,GUEL
01,AZUAY,SIGSIG,LUDO
01,AZUAY,SIGSIG,SAN BARTOLOMÉ
01,AZUAY,SIGSIG,SAN JOSÉ DE RARANGA
01,AZUAY,OÑA,SAN FELIPE DE OÑA CABECERA CANTONAL
01,AZUAY,OÑA,SUSUDEL
01,AZUAY,CHORDELEG,CHORDELEG
01,AZUAY,CHORDELEG,PRINCIPAL
01,AZUAY,CHORDELEG,LA UNIÓN
01,AZUAY,CHORDELEG,LUIS GALARZA ORELLANA (CAB.EN DELEGSOL)
01,AZUAY,CHORDELEG,SAN MARTÍN DE PUZHIO
01,AZUAY,EL PAN,EL PAN
01,AZUAY,EL PAN,AMALUZA
01,AZUAY,EL PAN,PALMAS
01,AZUAY,EL PAN,SAN VICENTE
