,Código Provincia,Provincia,Cantón,Parroquia
659,11,LOJA,LOJA,EL SAGRARIO
660,11,LOJA,LOJA,SAN SEBASTIÁN
661,11,LOJA,LOJA,SUCRE
662,11,LOJA,LOJA,VALLE
663,11,LOJA,LOJA,LOJA
664,11,LOJA,LOJA,CHANTACO
665,11,LOJA,LOJA,CHUQUIRIBAMBA
666,11,LOJA,LOJA,EL CISNE
667,11,LOJA,LOJA,GUALEL
668,11,LOJA,LOJA,JIMBILLA
669,11,LOJA,LOJA,MALACATOS (VALLADOLID)
670,11,LOJA,LOJA,SAN LUCAS
671,11,LOJA,LOJA,SAN PEDRO DE VILCABAMBA
672,11,LOJA,LOJA,SANTIAGO
673,11,LOJA,LOJA,TAQUIL (MIGUEL RIOFRÍO)
674,11,LOJA,LOJA,VILCABAMBA (VICTORIA)
675,11,LOJA,LOJA,YANGANA (ARSENIO CASTILLO)
676,11,LOJA,LOJA,QUINARA
677,11,LOJA,CALVAS,CARIAMANGA
678,11,LOJA,CALVAS,CHILE
679,11,LOJA,CALVAS,SAN VICENTE
680,11,LOJA,CALVAS,CARIAMANGA
681,11,LOJA,CALVAS,COLAISACA
682,11,LOJA,CALVAS,EL LUCERO
683,11,LOJA,CALVAS,UTUANA
684,11,LOJA,CALVAS,SANGUILLÍN
685,11,LOJA,CATAMAYO,CATAMAYO
686,11,LOJA,CATAMAYO,SAN JOSÉ
687,11,LOJA,CATAMAYO,CATAMAYO (LA TOMA)
688,11,LOJA,CATAMAYO,EL TAMBO
689,11,LOJA,CATAMAYO,GUAYQUICHUMA
690,11,LOJA,CATAMAYO,SAN PEDRO DE LA BENDITA
691,11,LOJA,CATAMAYO,ZAMBI
692,11,LOJA,CELICA,CELICA
693,11,LOJA,CELICA,CRUZPAMBA (CAB. EN CARLOS BUSTAMANTE)
694,11,LOJA,CELICA,CHAQUINAL
695,11,LOJA,CELICA,12 DE DICIEMBRE (CAB. EN ACHIOTES)
696,11,LOJA,CELICA,PINDAL (FEDERICO PÁEZ)
697,11,LOJA,CELICA,POZUL (SAN JUAN DE POZUL)
698,11,LOJA,CELICA,SABANILLA
699,11,LOJA,CELICA,TNTE. MAXIMILIANO RODRÍGUEZ LOAIZA
700,11,LOJA,CHAGUARPAMBA,CHAGUARPAMBA
701,11,LOJA,CHAGUARPAMBA,BUENAVISTA
702,11,LOJA,CHAGUARPAMBA,EL ROSARIO
703,11,LOJA,CHAGUARPAMBA,SANTA RUFINA
704,11,LOJA,CHAGUARPAMBA,AMARILLOS
705,11,LOJA,ESPÍNDOLA,AMALUZA
706,11,LOJA,ESPÍNDOLA,BELLAVISTA
707,11,LOJA,ESPÍNDOLA,JIMBURA
708,11,LOJA,ESPÍNDOLA,SANTA TERESITA
709,11,LOJA,ESPÍNDOLA,27 DE ABRIL (CAB. EN LA NARANJA)
710,11,LOJA,ESPÍNDOLA,EL INGENIO
711,11,LOJA,ESPÍNDOLA,EL AIRO
712,11,LOJA,GONZANAMÁ,GONZANAMÁ
713,11,LOJA,GONZANAMÁ,CHANGAIMINA (LA LIBERTAD)
714,11,LOJA,GONZANAMÁ,FUNDOCHAMBA
715,11,LOJA,GONZANAMÁ,NAMBACOLA
716,11,LOJA,GONZANAMÁ,PURUNUMA (EGUIGUREN)
717,11,LOJA,GONZANAMÁ,QUILANGA (LA PAZ)
718,11,LOJA,GONZANAMÁ,SACAPALCA
719,11,LOJA,GONZANAMÁ,SAN ANTONIO DE LAS ARADAS (CAB. EN LAS ARADAS)
720,11,LOJA,MACARÁ,GENERAL ELOY ALFARO (SAN SEBASTIÁN)
721,11,LOJA,MACARÁ,MACARÁ (MANUEL ENRIQUE RENGEL SUQUILANDA)
722,11,LOJA,MACARÁ,MACARÁ
723,11,LOJA,MACARÁ,LARAMA
724,11,LOJA,MACARÁ,LA VICTORIA
725,11,LOJA,MACARÁ,SABIANGO (LA CAPILLA)
726,11,LOJA,PALTAS,CATACOCHA
727,11,LOJA,PALTAS,LOURDES
728,11,LOJA,PALTAS,CATACOCHA
